id,populasyon,baslik,ana_bulgu,esleme,hekim_onayi,soru_sayisi,soru_metinleri,geri_bildirim
"auto_lung_wheezing_right_middle_anterior","yetişkin","Wheezing — Sağ orta bölge (anterior)","wheezing","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Wheezing, ekspiryumda duyulan yüksek frekanslı, süreklilik arz eden müzikal hışıltı sesidir."
"auto_lung_wheezing_left_lower_anterior","yetişkin","Wheezing — Sol alt bölge (anterior)","wheezing","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Wheezing, ekspiryumda duyulan yüksek frekanslı, süreklilik arz eden müzikal hışıltı sesidir."
"auto_lung_wheezing_left_middle_anterior","yetişkin","Wheezing — Sol orta bölge (anterior)","wheezing","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Wheezing, ekspiryumda duyulan yüksek frekanslı, süreklilik arz eden müzikal hışıltı sesidir."
"auto_lung_rhonchi_left_upper_anterior","yetişkin","Ronküs — Sol üst bölge (anterior)","rhonchi","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Ronküs, düşük frekanslı (<300 Hz civarı), kaba ve sürekli nitelikte hırıltı sesidir."
"auto_lung_rhonchi_right_lower_anterior","yetişkin","Ronküs — Sağ alt bölge (anterior)","rhonchi","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Ronküs, düşük frekanslı (<300 Hz civarı), kaba ve sürekli nitelikte hırıltı sesidir."
"auto_lung_rhonchi_right_upper_anterior","yetişkin","Ronküs — Sağ üst bölge (anterior)","rhonchi","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Ronküs, düşük frekanslı (<300 Hz civarı), kaba ve sürekli nitelikte hırıltı sesidir."
"auto_lung_rhonchi_left_middle_anterior","yetişkin","Ronküs — Sol orta bölge (anterior)","rhonchi","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Ronküs, düşük frekanslı (<300 Hz civarı), kaba ve sürekli nitelikte hırıltı sesidir."
"auto_lung_rhonchi_left_lower_anterior","yetişkin","Ronküs — Sol alt bölge (anterior)","rhonchi","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Ronküs, düşük frekanslı (<300 Hz civarı), kaba ve sürekli nitelikte hırıltı sesidir."
"auto_lung_fine_crackles_left_upper_anterior","yetişkin","İnce Raller (Fine Crackles) — Sol üst bölge (anterior)","fine_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","İnce raller, inspirasyon sonunda duyulan kısa, yüksek frekanslı, kesintili patlama sesleridir."
"auto_lung_fine_crackles_right_upper_anterior","yetişkin","İnce Raller (Fine Crackles) — Sağ üst bölge (anterior)","fine_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","İnce raller, inspirasyon sonunda duyulan kısa, yüksek frekanslı, kesintili patlama sesleridir."
"auto_lung_fine_crackles_right_lower_anterior","yetişkin","İnce Raller (Fine Crackles) — Sağ alt bölge (anterior)","fine_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","İnce raller, inspirasyon sonunda duyulan kısa, yüksek frekanslı, kesintili patlama sesleridir."
"auto_lung_coarse_crackles_left_lower_anterior","yetişkin","Kaba Raller (Coarse Crackles) — Sol alt bölge (anterior)","coarse_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Kaba raller, daha kaba, düşük frekanslı ve 'nemli' nitelikte kesintili seslerdir."
"auto_lung_coarse_crackles_left_upper_anterior","yetişkin","Kaba Raller (Coarse Crackles) — Sol üst bölge (anterior)","coarse_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Kaba raller, daha kaba, düşük frekanslı ve 'nemli' nitelikte kesintili seslerdir."
"auto_lung_coarse_crackles_right_lower_anterior","yetişkin","Kaba Raller (Coarse Crackles) — Sağ alt bölge (anterior)","coarse_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Kaba raller, daha kaba, düşük frekanslı ve 'nemli' nitelikte kesintili seslerdir."
"auto_lung_coarse_crackles_left_middle_anterior","yetişkin","Kaba Raller (Coarse Crackles) — Sol orta bölge (anterior)","coarse_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Kaba raller, daha kaba, düşük frekanslı ve 'nemli' nitelikte kesintili seslerdir."
"auto_lung_coarse_crackles_right_middle_anterior","yetişkin","Kaba Raller (Coarse Crackles) — Sağ orta bölge (anterior)","coarse_crackles","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Kaba raller, daha kaba, düşük frekanslı ve 'nemli' nitelikte kesintili seslerdir."
"auto_lung_pleural_rub_right_middle_anterior","yetişkin","Plevral Frotman — Sağ orta bölge (anterior)","pleural_rub","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Plevral frotman, plevral yüzeylerin sürtünmesiyle oluşan kaba, gıcırtılı sürtünme sesidir."
"auto_lung_pleural_rub_left_upper_anterior","yetişkin","Plevral Frotman — Sol üst bölge (anterior)","pleural_rub","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Plevral frotman, plevral yüzeylerin sürtünmesiyle oluşan kaba, gıcırtılı sürtünme sesidir."
"auto_lung_pleural_rub_left_lower_anterior","yetişkin","Plevral Frotman — Sol alt bölge (anterior)","pleural_rub","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Plevral frotman, plevral yüzeylerin sürtünmesiyle oluşan kaba, gıcırtılı sürtünme sesidir."
"auto_lung_pleural_rub_left_middle_anterior","yetişkin","Plevral Frotman — Sol orta bölge (anterior)","pleural_rub","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Plevral frotman, plevral yüzeylerin sürtünmesiyle oluşan kaba, gıcırtılı sürtünme sesidir."
"auto_lung_pleural_rub_right_upper_anterior","yetişkin","Plevral Frotman — Sağ üst bölge (anterior)","pleural_rub","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Plevral frotman, plevral yüzeylerin sürtünmesiyle oluşan kaba, gıcırtılı sürtünme sesidir."
"auto_lung_pleural_rub_right_lower_anterior","yetişkin","Plevral Frotman — Sağ alt bölge (anterior)","pleural_rub","validated","beklemede","3","Dinlediğiniz solunum sesi hangisidir? | Bu ses solunum siklusunun hangi bölümünde belirgindir? | Bu vakanın ana kaydı hangi bölgeden alınmıştır?","Plevral frotman, plevral yüzeylerin sürtünmesiyle oluşan kaba, gıcırtılı sürtünme sesidir."
"auto_mixed_late_systolic_murmur_rhonchi_cardiac_pulmonary_001","yetişkin","Kombine: Geç Sistolik Üfürüm + Ronküs","late_systolic_murmur+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s3_normal_right_lower_anterior_002","yetişkin","Kombine: S3 (Üçüncü Kalp Sesi) + Normal Solunum Sesleri","s3+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_atrial_fibrillation_normal_left_middle_anterior_003","yetişkin","Kombine: Atriyal Fibrilasyon + Normal Solunum Sesleri","atrial_fibrillation+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s3_coarse_crackles_cardiac_mitral_004","yetişkin","Kombine: S3 (Üçüncü Kalp Sesi) + Kaba Raller (Coarse Crackles)","s3+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_av_block_fine_crackles_cardiac_aortic_005","yetişkin","Kombine: Atriyoveventriküler Blok + İnce Raller (Fine Crackles)","av_block+fine_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_tachycardia_pleural_rub_cardiac_mitral_006","yetişkin","Kombine: Taşikardi + Plevral Frotman","tachycardia+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_early_systolic_murmur_pleural_rub_left_middle_anterior_007","yetişkin","Kombine: Erken Sistolik Üfürüm + Plevral Frotman","early_systolic_murmur+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_mid_systolic_murmur_wheezing_left_upper_anterior_008","yetişkin","Kombine: Orta Sistolik Üfürüm + Wheezing","mid_systolic_murmur+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_early_systolic_murmur_coarse_crackles_left_upper_anterior_009","yetişkin","Kombine: Erken Sistolik Üfürüm + Kaba Raller (Coarse Crackles)","early_systolic_murmur+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_normal_cardiac_mitral_010","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Normal Solunum Sesleri","s4+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_av_block_rhonchi_right_middle_anterior_011","yetişkin","Kombine: Atriyoveventriküler Blok + Ronküs","av_block+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_rhonchi_left_upper_anterior_012","yetişkin","Kombine: Geç Diyastolik Üfürüm + Ronküs","late_diastolic_murmur+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_coarse_crackles_left_upper_anterior_013","yetişkin","Kombine: Geç Diyastolik Üfürüm + Kaba Raller (Coarse Crackles)","late_diastolic_murmur+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_atrial_fibrillation_rhonchi_right_lower_anterior_014","yetişkin","Kombine: Atriyal Fibrilasyon + Ronküs","atrial_fibrillation+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_systolic_murmur_wheezing_right_middle_anterior_015","yetişkin","Kombine: Geç Sistolik Üfürüm + Wheezing","late_systolic_murmur+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_tachycardia_pleural_rub_right_upper_anterior_016","yetişkin","Kombine: Taşikardi + Plevral Frotman","tachycardia+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_normal_right_lower_anterior_017","yetişkin","Kombine: Geç Diyastolik Üfürüm + Normal Solunum Sesleri","late_diastolic_murmur+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_systolic_murmur_coarse_crackles_cardiac_pulmonary_018","yetişkin","Kombine: Geç Sistolik Üfürüm + Kaba Raller (Coarse Crackles)","late_systolic_murmur+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_av_block_fine_crackles_left_middle_anterior_019","yetişkin","Kombine: Atriyoveventriküler Blok + İnce Raller (Fine Crackles)","av_block+fine_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_wheezing_cardiac_pulmonary_020","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Wheezing","s4+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s3_pleural_rub_cardiac_pulmonary_021","yetişkin","Kombine: S3 (Üçüncü Kalp Sesi) + Plevral Frotman","s3+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_coarse_crackles_right_middle_anterior_022","yetişkin","Kombine: Geç Diyastolik Üfürüm + Kaba Raller (Coarse Crackles)","late_diastolic_murmur+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_tachycardia_pleural_rub_left_upper_anterior_023","yetişkin","Kombine: Taşikardi + Plevral Frotman","tachycardia+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_systolic_murmur_fine_crackles_cardiac_pulmonary_024","yetişkin","Kombine: Geç Sistolik Üfürüm + İnce Raller (Fine Crackles)","late_systolic_murmur+fine_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_fine_crackles_right_lower_anterior_025","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + İnce Raller (Fine Crackles)","s4+fine_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s3_normal_left_upper_anterior_026","yetişkin","Kombine: S3 (Üçüncü Kalp Sesi) + Normal Solunum Sesleri","s3+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_av_block_normal_cardiac_tricuspid_027","yetişkin","Kombine: Atriyoveventriküler Blok + Normal Solunum Sesleri","av_block+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s3_normal_cardiac_tricuspid_028","yetişkin","Kombine: S3 (Üçüncü Kalp Sesi) + Normal Solunum Sesleri","s3+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_atrial_fibrillation_normal_left_lower_anterior_029","yetişkin","Kombine: Atriyal Fibrilasyon + Normal Solunum Sesleri","atrial_fibrillation+normal","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_mid_systolic_murmur_coarse_crackles_right_upper_anterior_030","yetişkin","Kombine: Orta Sistolik Üfürüm + Kaba Raller (Coarse Crackles)","mid_systolic_murmur+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_tachycardia_pleural_rub_cardiac_tricuspid_031","yetişkin","Kombine: Taşikardi + Plevral Frotman","tachycardia+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_fine_crackles_cardiac_tricuspid_032","yetişkin","Kombine: Geç Diyastolik Üfürüm + İnce Raller (Fine Crackles)","late_diastolic_murmur+fine_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_atrial_fibrillation_rhonchi_right_middle_anterior_033","yetişkin","Kombine: Atriyal Fibrilasyon + Ronküs","atrial_fibrillation+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_wheezing_right_lower_anterior_034","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Wheezing","s4+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_rhonchi_right_upper_anterior_035","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Ronküs","s4+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_early_systolic_murmur_wheezing_cardiac_pulmonary_036","yetişkin","Kombine: Erken Sistolik Üfürüm + Wheezing","early_systolic_murmur+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_atrial_fibrillation_coarse_crackles_cardiac_tricuspid_037","yetişkin","Kombine: Atriyal Fibrilasyon + Kaba Raller (Coarse Crackles)","atrial_fibrillation+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_wheezing_cardiac_aortic_038","yetişkin","Kombine: Geç Diyastolik Üfürüm + Wheezing","late_diastolic_murmur+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_av_block_rhonchi_cardiac_pulmonary_039","yetişkin","Kombine: Atriyoveventriküler Blok + Ronküs","av_block+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_coarse_crackles_right_lower_anterior_040","yetişkin","Kombine: Geç Diyastolik Üfürüm + Kaba Raller (Coarse Crackles)","late_diastolic_murmur+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_rhonchi_cardiac_aortic_041","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Ronküs","s4+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s3_pleural_rub_right_lower_anterior_042","yetişkin","Kombine: S3 (Üçüncü Kalp Sesi) + Plevral Frotman","s3+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_late_diastolic_murmur_wheezing_left_middle_anterior_043","yetişkin","Kombine: Geç Diyastolik Üfürüm + Wheezing","late_diastolic_murmur+wheezing","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_rhonchi_cardiac_tricuspid_044","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Ronküs","s4+rhonchi","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_tachycardia_coarse_crackles_right_middle_anterior_045","yetişkin","Kombine: Taşikardi + Kaba Raller (Coarse Crackles)","tachycardia+coarse_crackles","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_pleural_rub_right_upper_anterior_046","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Plevral Frotman","s4+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_s4_pleural_rub_cardiac_mitral_047","yetişkin","Kombine: S4 (Dördüncü Kalp Sesi) + Plevral Frotman","s4+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
"auto_mixed_atrial_fibrillation_pleural_rub_cardiac_mitral_048","yetişkin","Kombine: Atriyal Fibrilasyon + Plevral Frotman","atrial_fibrillation+pleural_rub","educational_mapping","beklemede","2","Kayıttaki KALP kaynaklı bileşen hangisidir? | Kayıttaki AKCİĞER kaynaklı bileşen hangisidir?","Kombine kayıtlarda iki kaynağı ayrıştırmak klinik dinlemenin temelidir."
